Date;Open;High;Low;Close;Adj Close;Volume;Symbol
2006-01-02;9.81495;9.85707;9.77282;9.81495;9.545695;415919;BCP.LS
2006-01-03;9.81495;9.98344;9.81495;9.899189999999999;9.627625;4461008;BCP.LS
2006-01-04;9.899189999999999;9.94132;9.81495;9.85707;9.58666;5752819;BCP.LS
2006-01-05;9.85707;9.85707;9.68857;9.77282;9.504723;3619170;BCP.LS
2006-01-06;9.7307;9.77282;9.68857;9.68857;9.422782000000002;4510727;BCP.LS
2006-01-09;9.7307;10.0256;9.7307;10.0256;9.750567;3453007;BCP.LS
2006-01-10;10.0256;10.1098;9.899189999999999;10.0677;9.791511999999999;6634491;BCP.LS
2006-01-11;10.0677;10.3204;10.0677;10.2362;9.95539;9607266;BCP.LS
2006-01-12;10.2783;10.3626;10.1519;10.1519;9.873402;6679962;BCP.LS
2006-01-13;10.1519;10.2362;10.0677;10.1098;9.832458;4750520;BCP.LS
2006-01-16;10.1519;10.1519;9.98344;10.1098;9.832458;3112778;BCP.LS
2006-01-17;10.1098;10.1941;10.0677;10.1519;9.873402;4373974;BCP.LS
2006-01-18;10.1519;10.1519;9.98344;10.0677;9.791511999999999;4647705;BCP.LS
2006-01-19;10.1098;10.1519;10.0256;10.1098;9.832458;5552487;BCP.LS
2006-01-20;10.1519;10.2783;10.0677;10.2362;9.95539;4274288;BCP.LS
2006-01-23;10.1941;10.2783;10.1098;10.1519;9.873402;3789419;BCP.LS
2006-01-24;10.1519;10.2783;10.1519;10.1519;9.873402;1837927;BCP.LS
2006-01-25;10.2783;10.4468;10.2783;10.3626;10.078322;11506174;BCP.LS
2006-01-26;10.3626;10.4468;10.3204;10.3626;10.078322;3943244;BCP.LS
2006-01-27;10.3626;10.4047;10.1941;10.2783;9.996336;5027162;BCP.LS
2006-01-30;10.2783;10.3204;10.1941;10.2362;9.95539;3212414;BCP.LS
2006-01-31;10.1941;10.2362;10.1098;10.1519;9.873402;2532557;BCP.LS
2006-02-01;10.1098;10.3204;10.1098;10.2783;9.996336;5043545;BCP.LS
2006-02-02;10.2783;10.4468;10.2783;10.3204;10.03728;6680594;BCP.LS
2006-02-03;10.3204;10.3626;10.2362;10.2783;9.996336;2512685;BCP.LS
2006-02-06;10.3204;10.4468;10.3204;10.4468;10.160212;2597414;BCP.LS
2006-02-07;10.4889;10.5732;10.4047;10.4047;10.119268;7072729;BCP.LS
2006-02-08;10.4047;10.5732;10.4047;10.5311;10.242201;2232961;BCP.LS
2006-02-09;10.5311;10.6153;10.4889;10.5311;10.242201;2794208;BCP.LS
2006-02-10;10.5311;10.5732;10.5311;10.5732;10.283144;1038040;BCP.LS
2006-02-13;10.5311;10.6153;10.5311;10.6153;10.32409;1717785;BCP.LS
2006-02-14;10.5732;10.6153;10.4889;10.5311;10.242201;1833105;BCP.LS
2006-02-15;10.5311;10.5732;10.4889;10.5311;10.242201;1707947;BCP.LS
2006-02-16;10.5732;10.6153;10.4889;10.6153;10.32409;1737068;BCP.LS
2006-02-17;10.6153;10.6574;10.5732;10.6153;10.32409;1702084;BCP.LS
2006-02-20;10.5732;10.6153;10.5732;10.6153;10.32409;484743;BCP.LS
2006-02-21;10.5732;10.7417;10.5732;10.6153;10.32409;3900833;BCP.LS
2006-02-22;10.6153;10.6996;10.5732;10.6153;10.32409;2829818;BCP.LS
2006-02-23;10.6153;10.7838;10.6153;10.7417;10.447022;3177715;BCP.LS
2006-02-24;10.7417;10.7838;10.6996;10.7838;10.487967;1247678;BCP.LS
2006-02-27;10.7838;10.7838;10.6996;10.6996;10.406077999999999;1304148;BCP.LS
2006-02-28;10.6996;10.7417;10.4889;10.4889;10.201158;3298229;BCP.LS
2006-03-01;10.5311;10.6996;10.5311;10.6996;10.406077999999999;2752373;BCP.LS
2006-03-02;10.6996;10.7417;10.6153;10.6574;10.365035;2439680;BCP.LS
2006-03-03;10.6153;10.6996;10.5732;10.6153;10.32409;2595732;BCP.LS
2006-03-06;10.6153;10.7417;10.6153;10.7417;10.447022;1828307;BCP.LS
